,Network,Date,Time,Program,Length,Rating,Minute_In_Commercial,Total_Loss_perc
0,DKN,9/21/15,10:00 PM,BLINDSPOT,60,3.73553379,0,15.63776683
1,DKN,9/21/15,10:01 PM,BLINDSPOT,60,3.528162266,0,5.965321415
2,DKN,9/21/15,10:02 PM,BLINDSPOT,60,3.540439969,0,6.50168067
3,DKN,9/21/15,10:03 PM,BLINDSPOT,60,3.478096736,0,5.259257483
4,DKN,9/21/15,10:04 PM,BLINDSPOT,60,3.385775501,0,3.366674647
5,DKN,9/21/15,10:05 PM,BLINDSPOT,60,3.337245577,0,2.329912305
6,DKN,9/21/15,10:06 PM,BLINDSPOT,60,3.294817922,0,4.205195869
7,DKN,9/21/15,10:07 PM,BLINDSPOT,60,3.254371708,0,2.739661696
8,DKN,9/21/15,10:08 PM,BLINDSPOT,60,3.234387576,0,2.966710803
9,DKN,9/21/15,10:09 PM,BLINDSPOT,60,3.231331529,0,1.26463249
10,DKN,9/21/15,10:10 PM,BLINDSPOT,60,3.263323701,0,2.016652436
11,DKN,9/21/15,10:11 PM,BLINDSPOT,60,3.284627798,0,1.964747975
12,DKN,9/21/15,10:12 PM,BLINDSPOT,60,3.295407081,0,1.519677791
13,DKN,9/21/15,10:13 PM,BLINDSPOT,60,3.29321881,0,2.261398466
14,DKN,9/21/15,10:14 PM,BLINDSPOT,60,3.238938548,1,10.67241549
15,DKN,9/21/15,10:15 PM,BLINDSPOT,60,2.972904619,1,6.607848264
16,DKN,9/21/15,10:16 PM,BLINDSPOT,60,2.838826016,1,3.317091136
17,DKN,9/21/15,10:17 PM,BLINDSPOT,60,2.858893416,1,2.608639943
18,DKN,9/21/15,10:18 PM,BLINDSPOT,60,2.919865103,1,3.451785004
19,DKN,9/21/15,10:19 PM,BLINDSPOT,60,2.974971074,1,2.111959023
20,DKN,9/21/15,10:20 PM,BLINDSPOT,60,3.072735463,0,1.192814513
21,DKN,9/21/15,10:21 PM,BLINDSPOT,60,3.146392659,0,1.488859523
22,DKN,9/21/15,10:22 PM,BLINDSPOT,60,3.16199861,0,2.608110507
23,DKN,9/21/15,10:23 PM,BLINDSPOT,60,3.137856814,0,2.530641809
24,DKN,9/21/15,10:24 PM,BLINDSPOT,60,3.103615129,0,0.863014874
25,DKN,9/21/15,10:25 PM,BLINDSPOT,60,3.124816455,0,1.121132242
26,DKN,9/21/15,10:26 PM,BLINDSPOT,60,3.120235818,0,0.552431573
27,DKN,9/21/15,10:27 PM,BLINDSPOT,60,3.120341191,0,1.050681855
28,DKN,9/21/15,10:28 PM,BLINDSPOT,60,3.121540028,0,1.487179653
29,DKN,9/21/15,10:29 PM,BLINDSPOT,60,3.1042375,1,8.508861098
30,DKN,9/21/15,10:30 PM,BLINDSPOT,60,2.879516382,1,6.200788686
31,DKN,9/21/15,10:31 PM,BLINDSPOT,60,2.760004773,0,4.454291688
32,DKN,9/21/15,10:32 PM,BLINDSPOT,60,2.733818579,0,4.116318212
33,DKN,9/21/15,10:33 PM,BLINDSPOT,60,2.765499541,1,1.549858072
34,DKN,9/21/15,10:34 PM,BLINDSPOT,60,2.970491428,0,0.943562625
35,DKN,9/21/15,10:35 PM,BLINDSPOT,60,3.014035921,0,1.775881835
